cve,descrip
"S364","TRAUMATISMO DEL INTESTINO DELGADO"
"S365","TRAUMATISMO DEL COLON"
"S366","TRAUMATISMO DEL RECTO"
"S367","TRAUMATISMO DE MULTIPLES ORGANOS INTRAABDOMINALES"
"S368","TRAUMATISMO DE OTROS ORGANOS INTRAABDOMINALES"
"S369","TRAUMATISMO DE ORGANO INTRAABDOMINAL NO ESPECIFICADO"
"S370","TRAUMATISMO DEL RIÑON"
"S371","TRAUMATISMO DEL URETER"
"S372","TRAUMATISMO DE LA VEJIGA"
"S373","TRAUMATISMO DE LA URETRA"
"S374","TRAUMATISMO DEL OVARIO"
"S375","TRAUMATISMO DE LA TROMPA DE FALOPIO"
"S376","TRAUMATISMO DEL UTERO"
"S377","TRAUMATISMO DE MULTIPLES ORGANOS PELVICOS"
"S378","TRAUMATISMO DE OTROS ORGANOS PELVICOS"
"S379","TRAUMATISMO DE ORGANO PELVICO NO ESPECIFICADO"
"S380","TRAUMATISMO POR APLASTAMIENTO DE ORGANOS GENITALES EXTERNOS"
"S381","TRAUMATISMO POR APLASTAMIENTO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS"
"S382","AMPUTACION TRAUMATICA DE ORGANOS GENITALES EXTERNOS"
"S383","AMPUTACION TRAUMATICA DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DEL ABDOMEN, REGION LUMBOSACRA Y PELVIS"
"S390","TRAUMATISMO DE TENDON Y DE MUSCULOS DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS"
"S396","TRAUMATISMO DE ORGANO(S) INTRAABDOMINAL(ES) CON ORGANO(S) PELVICO(S)"
"S397","OTROS TRAUMATISMOS MULTIPLES DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS"
"S398","OTROS TRAUMATISMOS ESPECIFICADOS DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS"
"S399","TRAUMATISMO NO ESPECIFICADO DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS"
"S400","CONTUSION DEL HOMBRO Y DEL BRAZO"
"S407","TRAUMATISMOS SUPERFICIALES MULTIPLES DEL HOMBRO Y DEL BRAZO"
"S408","OTROS TRAUMATISMOS SUPERFICIALES DEL HOMBRO Y DEL BRAZO"
"S409","TRAUMATISMO SUPERFICIAL NO ESPECIFICADO DEL HOMBRO Y DEL BRAZO"
"S410","HERIDA DEL HOMBRO"
"S411","HERIDA DEL BRAZO"
"S417","HERIDAS MULTIPLES DEL HOMBRO Y DEL BRAZO"
"S418","HERIDA DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DEL HOMBRO Y DEL BRAZO"
"S420","FRACTURA DE LA CLAVICULA"
"S421","FRACTURA DEL OMOPLATO"
"S422","FRACTURA DE LA EPIFISIS SUPERIOR DEL HUMERO"
"S423","FRACTURA DE LA DIAFISIS DEL HUMERO"
"S424","FRACTURA DE LA EPIFISIS INFERIOR DEL HUMERO"
"S427","FRACTURAS MULTIPLES DE LA CLAVICULA, DEL OMOPLATO Y DEL HUMERO"
"S428","FRACTURA DE OTRAS PARTES DEL HOMBRO Y DEL BRAZO"
"S429","FRACTURA DEL HOMBRO Y DEL BRAZO, PARTE NO ESPECIFICADA"
"S430","LUXACION DE LA ARTICULACION DEL HOMBRO"
"S431","LUXACION DE LA ARTICULACION ACROMIOCLAVICULAR"
"S432","LUXACION DE LA ARTICULACION ESTERNOCLAVICULAR"
"S433","LUXACION DE OTRAS PARTES DE LA CINTURA ESCAPULAR Y DE LAS NO ESPECIFICADAS"
"S434","ESGUINCES Y TORCEDURAS DE LA ARTICULACION DEL HOMBRO"
"S435","ESGUINCES Y TORCEDURAS DE LA ARTICULACION ACROMIOCLAVICULAR"
"S436","ESGUINCES Y TORCEDURAS DE LA ARTICULACION ESTERNOCLAVICULAR"
"S437","ESGUINCES Y TORCEDURAS DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CINTURA ESCAPULAR"
"S440","TRAUMATISMO DEL NERVIO CUBITAL A NIVEL DEL BRAZO"
"S441","TRAUMATISMO DEL NERVIO MEDIANO A NIVEL DEL BRAZO"
"S442","TRAUMATISMO DEL NERVIO RADIAL A NIVEL DEL BRAZO"
"S443","TRAUMATISMO DEL NERVIO AXILAR"
"S444","TRAUMATISMO DEL NERVIO MUSCULOCUTANEO"
"S445","TRAUMATISMO DEL NERVIO SENSITIVO CUTANEO A NIVEL DEL HOMBRO Y DEL BRAZO"
"S447","TRAUMATISMO DE MULTIPLES NERVIOS A NIVEL DEL HOMBRO Y DEL BRAZO"
"S448","TRAUMATISMO DE OTROS NERVIOS A NIVEL DEL HOMBRO Y DEL BRAZO"
"S449","TRAUMATISMO DE NERVIO NO ESPECIFICADO A NIVEL DEL HOMBRO Y DEL BRAZO"
"S450","TRAUMATISMO DE LA ARTERIA AXILAR"
"S451","TRAUMATISMO DE LA ARTERIA BRAQUIAL"
"S452","TRAUMATISMO DE LA VENA AXILAR O BRAQUIAL"
"S453","TRAUMATISMO DE VENA SUPERFICIAL A NIVEL DEL HOMBRO Y DEL BRAZO"
"S457","TRAUMATISMO DE MULTIPLES VASOS SANGUINEOS A NIVEL DEL HOMBRO Y DEL BRAZO"
"S458","TRAUMATISMO DE OTROS VASOS SANGUINEOS A NIVEL DEL HOMBRO Y DEL BRAZO"
"S459","TRAUMATISMO DE VASO SANGUINEO NO ESPECIFICADO A NIVEL DEL HOMBRO Y DEL BRAZO"
"S460","TRAUMATISMO DEL MUSCULO(S) Y TENDON(ES) DEL MANGUITO ROTATORIO DEL HOMBRO"
"S461","TRAUMATISMO DEL TENDON Y MUSCULO DE LA CABEZA LARGA DEL BICEPS"
"S462","TRAUMATISMO DEL TENDON Y MUSCULO DE OTRAS PARTES DEL BICEPS"
"S463","TRAUMATISMO DEL TENDON Y MUSCULO DEL TRICEPS"
"S467","TRAUMATISMO DE MULTIPLES TENDONES Y MUSCULOS A NIVEL DEL HOMBRO Y DEL BRAZO"
"S468","TRAUMATISMO DE OTROS TENDONES Y MUSCULOS A NIVEL DEL HOMBRO Y DEL BRAZO"
"S469","TRAUMATISMO DE TENDON Y MUSCULO NO ESPECIFICADO, A NIVEL DEL HOMBRO Y DEL BRAZO"
"S47X","TRAUMATISMO POR APLASTAMIENTO DEL HOMBRO Y DEL BRAZO"
"S480","AMPUTACION TRAUMATICA EN LA ARTICULACION DEL HOMBRO"
"S481","AMPUTACION TRAUMATICA A NIVEL ENTRE EL HOMBRO Y EL CODO"
"S489","AMPUTACION TRAUMATICA DEL HOMBRO Y DEL BRAZO, NIVEL NO ESPECIFICADO"
"S497","TRAUMATISMOS MULTIPLES DEL HOMBRO Y DEL BRAZO"
"S498","OTROS TRAUMATISMOS ESPECIFICADOS DEL HOMBRO Y DEL BRAZO"
"S499","TRAUMATISMOS NO ESPECIFICADOS DEL HOMBRO Y DEL BRAZO"
"S500","CONTUSION DEL CODO"
"S501","CONTUSION DE OTRAS PARTES DEL ANTEBRAZO Y DE LAS NO ESPECIFICADAS"
"S507","TRAUMATISMOS SUPERFICIALES MULTIPLES DEL ANTEBRAZO"
"S508","OTROS TRAUMATISMOS SUPERFICIALES DEL ANTEBRAZO"
"S509","TRAUMATISMO SUPERFICIAL DEL ANTEBRAZO, NO ESPECIFICADO"
"S510","HERIDA DEL CODO"
"S517","HERIDAS MULTIPLES DEL ANTEBRAZO"
"S518","HERIDA DE OTRAS PARTES DEL ANTEBRAZO"
"S519","HERIDA DEL ANTEBRAZO, PARTE NO ESPECIFICADA"
"S520","FRACTURA DE LA EPIFISIS SUPERIOR DEL CUBITO"
"S521","FRACTURA DE LA EPIFISIS SUPERIOR DEL RADIO"
"S522","FRACTURA DE LA DIAFISIS DEL CUBITO"
"S523","FRACTURA DE LA DIAFISIS DEL RADIO"
"S524","FRACTURA DE LA DIAFISIS DEL CUBITO Y DEL RADIO"
"S525","FRACTURA DE LA EPIFISIS INFERIOR DEL RADIO"
"S526","FRACTURA DE LA EPIFISIS INFERIOR DEL CUBITO Y DEL RADIO"
"S527","FRACTURAS MULTIPLES DEL ANTEBRAZO"
"S528","FRACTURA DE OTRAS PARTES DEL ANTEBRAZO"
"S529","FRACTURA DEL ANTEBRAZO, PARTE NO ESPECIFICADA"
"S530","LUXACION DE LA CABEZA DEL RADIO"
"S531","LUXACION DEL CODO, NO ESPECIFICADA"
"S532","RUPTURA TRAUMATICA DEL LIGAMENTO LATERAL DEL RADIO"
"S533","RUPTURA TRAUMATICA DEL LIGAMENTO LATERAL DEL CUBITO"
"S534","ESGUINCES Y TORCEDURAS DEL CODO"
"S540","TRAUMATISMO DEL NERVIO CUBITAL A NIVEL DEL ANTEBRAZO"
"S541","TRAUMATISMO DEL NERVIO MEDIANO A NIVEL DEL ANTEBRAZO"
"S542","TRAUMATISMO DEL NERVIO RADIAL A NIVEL DEL ANTEBRAZO"
"S543","TRAUMATISMO DEL NERVIO SENSORIAL CUTANEO A NIVEL DEL ANTEBRAZO"
"S547","TRAUMATISMO DE MULTIPLES NERVIOS A NIVEL DEL ANTEBRAZO"
"S548","TRAUMATISMO DE OTROS NERVIOS A NIVEL DEL ANTEBRAZO"
"S549","TRAUMATISMO DE NERVIO NO ESPECIFICADO A NIVEL DEL ANTEBRAZO"
"S550","TRAUMATISMO DE LA ARTERIA CUBITAL A NIVEL DEL ANTEBRAZO"
"S551","TRAUMATISMO DE LA ARTERIA RADIAL A NIVEL DEL ANTEBRAZO"
"S552","TRAUMATISMO DE VENA A NIVEL DEL ANTEBRAZO"
"S557","TRAUMATISMO DE MULTIPLES VASOS SANGUINEOS A NIVEL DEL ANTEBRAZO"
"S558","TRAUMATISMO DE OTROS VASOS SANGUINEOS A NIVEL DEL ANTEBRAZO"
"S559","TRAUMATISMO DE VASO SANGUINEO NO ESPECIFICADO A NIVEL DEL ANTEBRAZO"
"S560","TRAUMATISMO DEL TENDON Y MUSCULO FLEXOR DEL PULGAR A NIVEL DEL ANTEBRAZO"
"S561","TRAUMATISMO DEL TENDON Y MUSCULO FLEXOR DE OTRO(S) DEDO(S) A NIVEL DEL ANTEBRAZO"
"S562","TRAUMATISMO DE OTRO TENDON Y MUSCULO FLEXOR A NIVEL DEL ANTEBRAZO"
"S563","TRAUMATISMO DE TENDONES Y MUSCULOS ABDUCTORES Y EXTENSORES DEL PULGAR A NIVEL DEL ANTEBRAZO"
"S564","TRAUMATISMO DEL TENDON Y MUSCULO EXTENSOR DE OTRO(S) DEDO(S) A NIVEL DEL ANTEBRAZO"
"S565","TRAUMATISMO DE OTRO TENDON Y MUSCULO EXTENSOR A NIVEL DEL ANTEBRAZO"
"S567","TRAUMATISMO DE MULTIPLES TENDONES Y MUSCULOS A NIVEL DEL ANTEBRAZO"
"S568","TRAUMATISMO DE OTROS TENDONES Y MUSCULOS Y DE LOS NO ESPECIFICADOS, A NIVEL DEL ANTEBRAZO"
"S570","TRAUMATISMO POR APLASTAMIENTO DEL CODO"
"S578","TRAUMATISMO POR APLASTAMIENTO DE OTRAS PARTES DEL ANTEBRAZO"
"S579","TRAUMATISMO POR APLASTAMIENTO DEL ANTEBRAZO, PARTE NO ESPECIFICADA"
"S580","AMPUTACION TRAUMATICA A NIVEL DEL CODO"
"S581","AMPUTACION TRAUMATICA NIVEL ENTRE EL CODO Y LA MUÑECA"
"S589","AMPUTACION TRAUMATICA DEL ANTEBRAZO, NIVEL NO ESPECIFICADO"
"S597","OTROS TRAUMATISMOS MULTIPLES DEL ANTEBRAZO"
"S598","OTROS TRAUMATISMOS ESPECIFICADOS DEL ANTEBRAZO"
"S599","TRAUMATISMO NO ESPECIFICADO DEL ANTEBRAZO"
"S600","CONTUSION DE DEDO(S) DE LA MANO, SIN DAÑO DE LA(S) UÑA(S)"
"S601","CONTUSION DE DEDO(S) DE LA MANO CON DAÑO DE LA(S) UÑA(S)"
"S602","CONTUSION DE OTRAS PARTES DE LA MUÑECA Y DE LA MANO"
"S607","TRAUMATISMOS SUPERFICIALES MULTIPLES DE LA MUÑECA Y DE LA MANO"
"S608","OTROS TRAUMATISMOS SUPERFICIALES DE LA MUÑECA Y DE LA MANO"
"S609","TRAUMATISMO SUPERFICIAL DE LA MUÑECA Y DE LA MANO, NO ESPECIFICADO"
"S610","HERIDA DE DEDO(S) DE LA MANO, SIN DAÑO DE LA(S) UÑA(S)"
"S611","HERIDA DE DEDO(S) DE LA MANO, CON DAÑO DE LA(S) UÑA(S)"
"S617","HERIDAS MULTIPLES DE LA MUÑECA Y DE LA MANO"
"S618","HERIDA DE OTRAS PARTES DE LA MUÑECA Y DE LA MANO"
"S619","HERIDA DE LA MUÑECA Y DE LA MANO, PARTE NO ESPECIFICADA"
"S620","FRACTURA DEL HUESO ESCAFOIDES [NAVICULAR] DE LA MANO"
"S621","FRACTURA DE OTRO(S) HUESO(S) DEL CARPO"
"S622","FRACTURA DEL PRIMER METACARPIANO"
"S623","FRACTURA DE OTROS HUESOS METACARPIANOS"
"S624","FRACTURAS MULTIPLES DE HUESOS METACARPIANOS"
"S625","FRACTURA DEL PULGAR"
"S626","FRACTURA DE OTRO DEDO DE LA MANO"
"S627","FRACTURAS MULTIPLES DE LOS DEDOS DE LA MANO"
"S628","FRACTURA DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA MUÑECA Y DE LA MANO"
"S630","LUXACION DE LA MUÑECA"
"S631","LUXACION DE DEDOS DE LA MANO"
"S632","LUXACIONES MULTIPLES DE DEDOS DE LA MANO"
"S633","RUPTURA TRAUMATICA DE LIGAMENTOS DE LA MUÑECA Y DEL CARPO"
"S634","RUPTURA TRAUMATICA DE LIGAMENTOS DEL DEDO DE LA MANO EN LA(S) ARTICULACION(ES) METACARPOFALANGICA E INTERFALANGICA"
"S635","ESGUINCE Y TORCEDURA DE LA MUÑECA"
"S636","ESGUINCES Y TORCEDURAS DE DEDO(S) DE LA MANO"
"S637","ESGUINCES Y TORCEDURAS DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA MUÑECA Y DE LA MANO"
"S640","TRAUMATISMO DEL NERVIO CUBITAL A NIVEL DE LA MUÑECA Y DE LA MANO"
"S641","TRAUMATISMO DEL NERVIO MEDIANO A NIVEL DE LA MUÑECA Y DE LA MANO"
"S642","TRAUMATISMO DEL NERVIO RADIAL A NIVEL DE LA MUÑECA Y DE LA MANO"
"S643","TRAUMATISMO DEL NERVIO DIGITAL DEL PULGAR"
"S644","TRAUMATISMO DEL NERVIO DIGITAL DE OTRO DEDO"
"S647","TRAUMATISMO DE MULTIPLES NERVIOS A NIVEL DE LA MUÑECA Y DE LA MANO"
"S648","TRAUMATISMO DE OTROS NERVIOS A NIVEL DE LA MUÑECA Y DE LA MANO"
"S649","TRAUMATISMO DE NERVIO NO ESPECIFICADO A NIVEL DE LA MUÑECA Y DE LA MANO"
"S650","TRAUMATISMO DE LA ARTERIA CUBITAL A NIVEL DE LA MUÑECA Y DE LA MANO"
"S651","TRAUMATISMO DE LA ARTERIA RADIAL A NIVEL DE LA MUÑECA Y DE LA MANO"
"S652","TRAUMATISMO DEL ARCO PALMAR SUPERFICIAL"
"S653","TRAUMATISMO DEL ARCO PALMAR PROFUNDO"
"S654","TRAUMATISMO DE VASO(S) SANGUINEO(S) DEL PULGAR"
"S655","TRAUMATISMO DE VASO(S) SANGUINEO(S) DE OTRO DEDO"
"S657","TRAUMATISMO DE MULTIPLES VASOS SANGUINEOS A NIVEL DE LA MUÑECA Y DE LA MANO"
"S658","TRAUMATISMO DE OTROS VASOS SANGUINEOS A NIVEL DE LA MUÑECA Y DE LA MANO"
"S659","TRAUMATISMO DE VASO SANGUINEO NO ESPECIFICADO, A NIVEL DE LA MUÑECA Y DE LA MANO"
"S660","TRAUMATISMO DEL TENDON Y MUSCULO FLEXOR LARGO DEL PULGAR A NIVEL DE LA MUÑECA Y DE LA MANO"
"S661","TRAUMATISMO DEL TENDON Y MUSCULO FLEXOR DE OTRO DEDO A NIVEL DE LA MUÑECA Y DE LA MANO"
"S662","TRAUMATISMO DEL TENDON Y MUSCULO EXTENSOR DEL PULGAR A NIVEL DE LA MUÑECA Y DE LA MANO"
"S663","TRAUMATISMO DEL TENDON Y MUSCULO EXTENSOR DE OTRO(S) DEDO(S) A NIVEL DE LA MUÑECA Y DE LA MANO"
"S664","TRAUMATISMO DEL MUSCULO Y TENDON INTRINSECO DEL PULGAR A NIVEL DE LA MUÑECA Y DE LA MANO"
"S665","TRAUMATISMO DEL MUSCULO Y TENDON INTRINSECO DE OTRO(S) DEDO(S) A NIVEL DE LA MUÑECA Y DE LA MANO"
"S666","TRAUMATISMO DE MULTIPLES TENDONES Y MUSCULOS FLEXORES A NIVEL DE LA MUÑECA Y DE LA MANO"
"S667","TRAUMATISMO DE MULTIPLES TENDONES Y MUSCULOS EXTENSORES A NIVEL DE LA MUÑECA Y DE LA MANO"
"S668","TRAUMATISMO DE OTROS TENDONES Y MUSCULOS A NIVEL DE LA MUÑECA Y DE LA MANO"
"S669","TRAUMATISMO DE TENDON Y MUSCULO NO ESPECIFICADO, A NIVEL DE LA MUÑECA Y DE LA MANO"
"S670","TRAUMATISMO POR APLASTAMIENTO DEL PULGAR Y OTRO(S) DEDO(S)"
"S678","TRAUMATISMO POR APLASTAMIENTO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA MUÑECA Y DE LA MANO"
"S680","AMPUTACION TRAUMATICA DEL PULGAR (COMPLETA) (PARCIAL)"
"S681","AMPUTACION TRAUMATICA DE OTRO DEDO UNICO (COMPLETA) (PARCIAL)"
"S682","AMPUTACION TRAUMATICA DE DOS O MAS DEDOS SOLAMENTE (COMPLETA) (PARCIAL)"
"S683","AMPUTACION TRAUMATICA COMBINADA (DE PARTE) DE DEDO(S) CON OTRAS PARTES DE LA MUÑECA Y DE LA MANO"
"S684","AMPUTACION TRAUMATICA DE LA MANO A NIVEL DE LA MUÑECA"
"S688","AMPUTACION TRAUMATICA DE OTRAS PARTES DE LA MUÑECA Y DE LA MANO"
"S689","AMPUTACION TRAUMATICA DE LA MUÑECA Y DE LA MANO, NIVEL NO ESPECIFICADO"
"S697","OTROS TRAUMATISMOS MULTIPLES DE LA MUÑECA Y DE LA MANO"
"S698","OTROS TRAUMATISMOS ESPECIFICADOS DE LA MUÑECA Y DE LA MANO"
"S699","TRAUMATISMO NO ESPECIFICADO DE LA MUÑECA Y DE LA MANO"
"S700","CONTUSION DE LA CADERA"
"S701","CONTUSION DEL MUSLO"
"S707","TRAUMATISMOS SUPERFICIALES MULTIPLES DE LA CADERA Y DEL MUSLO"
"S708","OTROS TRAUMATISMOS SUPERFICIALES DE LA CADERA Y DEL MUSLO"
"S709","TRAUMATISMO SUPERFICIAL DE LA CADERA Y DEL MUSLO, NO ESPECIFICADO"
"S710","HERIDA DE LA CADERA"
"S711","HERIDA DEL MUSLO"
"S717","HERIDAS MULTIPLES DE LA CADERA Y DEL MUSLO"
"S718","HERIDA DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CINTURA PELVICA"
"S720","FRACTURA DEL CUELLO DE FEMUR"
"S721","FRACTURA PERTROCANTERIANA"
"S722","FRACTURA SUBTROCANTERIANA"
"S723","FRACTURA DE LA DIAFISIS DEL FEMUR"
"S724","FRACTURA DE LA EPIFISIS INFERIOR DEL FEMUR"
"S727","FRACTURAS MULTIPLES DEL FEMUR"
"S728","FRACTURAS DE OTRAS PARTES DEL FEMUR"
"S729","FRACTURA DEL FEMUR, PARTE NO ESPECIFICADA"
"S730","LUXACION DE LA CADERA"
"S731","ESGUINCES Y TORCEDURAS DE LA CADERA"
"S740","TRAUMATISMO DEL NERVIO CIATICO A NIVEL DE LA CADERA Y DEL MUSLO"
"S741","TRAUMATISMO DEL NERVIO FEMOROCUTANEO A NIVEL DE LA CADERA Y DEL MUSLO"
"S742","TRAUMATISMO DEL NERVIO SENSORIAL CUTANEO A NIVEL DE LA CADERA Y DEL MUSLO"
"S747","TRAUMATISMO DE NERVIOS MULTIPLES A NIVEL DE LA CADERA Y DEL MUSLO"
"S748","TRAUMATISMO DE OTROS NERVIOS A NIVEL DE LA CADERA Y DEL MUSLO"
"S749","TRAUMATISMO DE NERVIO NO ESPECIFICADO A NIVEL DE LA CADERA Y DEL MUSLO"
"S750","TRAUMATISMO DE LA ARTERIA FEMORAL"
"S751","TRAUMATISMO DE LA VENA FEMORAL A NIVEL DE LA CADERA Y DEL MUSLO"
"S752","TRAUMATISMO DE LA GRAN VENA SAFENA A NIVEL DE LA CADERA Y DEL MUSLO"
"S757","TRAUMATISMO DE MULTIPLES VASOS SANGUINEOS A NIVEL DE LA CADERA Y DEL MUSLO"
"S758","TRAUMATISMO DE OTROS VASOS SANGUINEOS A NIVEL DE LA CADERA Y DEL MUSLO"
"S759","TRAUMATISMO DE VASO SANGUINEO NO ESPECIFICADO A NIVEL DE LA CADERA Y DEL MUSLO"
"S760","TRAUMATISMO DEL TENDON Y MUSCULO DE LA CADERA"
"S761","TRAUMATISMO DEL TENDON Y MUSCULO CUADRICEPS"
"S762","TRAUMATISMO DEL TENDON Y MUSCULO ADUCTOR MAYOR DEL MUSLO"
"S763","TRAUMATISMO DE TENDON Y MUSCULO DEL GRUPO MUSCULAR POSTERIOR A NIVEL DEL MUSLO"
"S764","TRAUMATISMO DE OTROS TENDONES Y MUSCULOS Y LOS NO ESPECIFICADOS A NIVEL DEL MUSLO"
"S767","TRAUMATISMO DE MULTIPLES TENDONES Y MUSCULOS A NIVEL DE LA CADERA Y DEL MUSLO"
"S770","TRAUMATISMO POR APLASTAMIENTO DE LA CADERA"
"S771","TRAUMATISMO POR APLASTAMIENTO DEL MUSLO"
"S772","TRAUMATISMO POR APLASTAMIENTO DE LA CADERA CON EL MUSLO"
"S780","AMPUTACION TRAUMATICA DE LA ARTICULACION DE LA CADERA"
"S781","AMPUTACION TRAUMATICA EN ALGUN NIVEL ENTRE LA CADERA Y LA RODILLA"
"S789","AMPUTACION TRAUMATICA DE CADERA Y MUSLO, NIVEL NO ESPECIFICADO"
"S797","TRAUMATISMOS MULTIPLES DE LA CADERA Y DEL MUSLO"
"S798","OTROS TRAUMATISMOS ESPECIFICADOS DE LA CADERA Y DEL MUSLO"
"S799","TRAUMATISMO NO ESPECIFICADO DE LA CADERA Y DEL MUSLO"
"S800","CONTUSION DE LA RODILLA"
"S801","CONTUSION DE OTRAS PARTES Y LAS NO ESPECIFICADAS DE LA PIERNA"
"S807","TRAUMATISMOS SUPERFICIALES MULTIPLES DE LA PIERNA"
"S808","OTROS TRAUMATISMOS SUPERFICIALES DE LA PIERNA"
"S809","TRAUMATISMO SUPERFICIAL DE LA PIERNA, NO ESPECIFICADO"
"S810","HERIDA DE LA RODILLA"
"S817","HERIDAS MULTIPLES DE LA PIERNA"
"S818","HERIDA DE OTRAS PARTES DE LA PIERNA"
"S819","HERIDA DE LA PIERNA, PARTE NO ESPECIFICADA"
"S820","FRACTURA DE LA ROTULA"
"S821","FRACTURA DE LA EPIFISIS SUPERIOR DE LA TIBIA"
"S822","FRACTURA DE LA DIAFISIS DE LA TIBIA"
"S823","FRACTURA DE LA EPIFISIS INFERIOR DE LA TIBIA"
"S824","FRACTURA DEL PERONE SOLAMENTE"
"S825","FRACTURA DEL MALEOLO INTERNO"
"S826","FRACTURA DEL MALEOLO EXTERNO"
"S827","FRACTURAS MULTIPLES DE LA PIERNA"
"S828","FRACTURA DE OTRAS PARTES DE LA PIERNA"
"S829","FRACTURA DE LA PIERNA, PARTE NO ESPECIFICADA"
"S830","LUXACION DE LA ROTULA"
"S831","LUXACION DE LA RODILLA"
"S832","DESGARRO DE MENISCOS, PRESENTE"
"S833","DESGARRO DEL CARTILAGO ARTICULAR DE LA RODILLA, PRESENTE"
"S834","ESGUINCES Y TORCEDURAS QUE COMPROMETEN LOS LIGAMENTOS LATERALES (EXTERNO) (INTERNO) DE LA RODILLA"
"S835","ESGUINCES Y TORCEDURAS QUE COMPROMETEN EL LIGAMENTO CRUZADO (ANTERIOR) (POSTERIOR) DE LA RODILLA"
"S836","ESGUINCES Y TORCEDURAS DE OTRAS PARTES Y LAS NO ESPECIFICADAS DE LA RODILLA"
"S837","TRAUMATISMO DE ESTRUCTURAS MULTIPLES DE LA RODILLA"
"S840","TRAUMATISMO DEL NERVIO TIBIAL A NIVEL DE LA PIERNA"
"S841","TRAUMATISMO DEL NERVIO PERONEO A NIVEL DE LA PIERNA"
"S842","TRAUMATISMO DEL NERVIO SENSORIAL CUTANEO A NIVEL DE LA PIERNA"
"S847","TRAUMATISMO DE NERVIOS MULTIPLES A NIVEL DE LA PIERNA"
"S848","TRAUMATISMO DE OTROS NERVIOS A NIVEL DE LA PIERNA"
"S849","TRAUMATISMO DE NERVIO NO ESPECIFICADO A NIVEL DE LA PIERNA"
"S850","TRAUMATISMO DE LA ARTERIA POPLITEA"
"S851","TRAUMATISMO DE LA ARTERIA TIBIAL (ANTERIOR) (POSTERIOR)"
"S852","TRAUMATISMO DE LA ARTERIA PERONEA"
"S853","TRAUMATISMO DE LA GRAN VENA SAFENA A NIVEL DE LA PIERNA"
"S854","TRAUMATISMO DE LA VENA SAFENA EXTERNA A NIVEL DE LA PIERNA"
"S855","TRAUMATISMO DE LA VENA POPLITEA"
"S857","TRAUMATISMO DE VASOS SANGUINEOS MULTIPLES A NIVEL DE LA PIERNA"
"S858","TRAUMATISMO DE OTROS VASOS SANGUINEOS A NIVEL DE LA PIERNA"
"S859","TRAUMATISMO DE VASO SANGUINEO NO ESPECIFICADO A NIVEL DE LA PIERNA"
"S860","TRAUMATISMO DEL TENDON DE AQUILES"
"S861","TRAUMATISMO DE OTRO(S) TENDON(ES) Y MUSCULO(S) DEL GRUPO MUSCULAR POSTERIOR A NIVEL DE LA PIERNA"
"S862","TRAUMATISMO DE TENDON(ES) Y MUSCULO(S) DEL GRUPO MUSCULAR ANTERIOR A NIVEL DE LA PIERNA"
"S863","TRAUMATISMO DE TENDON(ES) Y MUSCULO(S) DEL GRUPO MUSCULAR PERONEO A NIVEL DE LA PIERNA"
"S867","TRAUMATISMO DE MULTIPLES TENDONES Y MUSCULOS A NIVEL DE LA PIERNA"
"S868","TRAUMATISMO DE OTROS TENDONES Y MUSCULOS A NIVEL DE LA PIERNA"
"S869","TRAUMATISMO DE TENDON Y MUSCULO NO ESPECIFICADO A NIVEL DE LA PIERNA"
"S870","TRAUMATISMO POR APLASTAMIENTO DE LA RODILLA"
"S878","TRAUMATISMO POR APLASTAMIENTO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA PIERNA"
"S880","AMPUTACION TRAUMATICA A NIVEL DE LA RODILLA"
"S881","AMPUTACION TRAUMATICA EN ALGUN NIVEL ENTRE LA RODILLA Y EL TOBILLO"
"S889","AMPUTACION TRAUMATICA DE LA PIERNA, NIVEL NO ESPECIFICADO"
"S897","TRAUMATISMOS MULTIPLES DE LA PIERNA"
"S898","OTROS TRAUMATISMOS DE LA PIERNA, ESPECIFICADOS"
"S899","TRAUMATISMO DE LA PIERNA, NO ESPECIFICADO"
"S900","CONTUSION DEL TOBILLO"
"S901","CONTUSION DE DEDO(S) DEL PIE SIN DAÑO DE LA(S) UÑA(S)"
"S902","CONTUSION DE DEDO(S) DEL PIE CON DAÑO DE LA(S) UÑA(S)"
"S903","CONTUSION DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DEL PIE"
"S907","TRAUMATISMOS SUPERFICIALES MULTIPLES DEL PIE Y DEL TOBILLO"
"S908","OTROS TRAUMATISMOS SUPERFICIALES DEL PIE Y DEL TOBILLO"
